data,valor,serie,processado_em
2023-01-02,5.343,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-03,5.3753,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-04,5.4453,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-05,5.402,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-06,5.2849,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-09,5.2961,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-10,5.2389,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-11,5.2014,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-12,5.1394,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-13,5.114,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-16,5.1109,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-17,5.1197,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-18,5.0903,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-19,5.2138,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-20,5.198,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-23,5.1916,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-24,5.169,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-25,5.1036,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-26,5.0945,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-27,5.0761,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-30,5.0953,dolar_comercial,2026-06-08T22:16:26.828931
2023-01-31,5.0987,dolar_comercial,2026-06-08T22:16:26.828931
2023-02-01,5.0715,dolar_comercial,2026-06-08T22:16:26.828931
2023-02-02,4.9895,dolar_comercial,2026-06-08T22:16:26.828931
2023-02-03,5.1024,dolar_comercial,2026-06-08T22:16:26.828931
2023-02-06,5.1757,dolar_comercial,2026-06-08T22:16:26.828931
2023-02-07,5.1689,dolar_comercial,2026-06-08T22:16:26.828931
2023-02-08,5.203,dolar_comercial,2026-06-08T22:16:26.828931
2023-02-09,5.2309,dolar_comercial,2026-06-08T22:16:26.828931
2023-02-10,5.252,dolar_comercial,2026-06-08T22:16:26.828931
