data,valor,serie,processado_em
2023-01-01,0.21,igpm_mensal,2026-06-08T22:16:26.850119
2023-02-01,-0.06,igpm_mensal,2026-06-08T22:16:26.850119
2023-03-01,0.05,igpm_mensal,2026-06-08T22:16:26.850119
2023-04-01,-0.95,igpm_mensal,2026-06-08T22:16:26.850119
2023-05-01,-1.84,igpm_mensal,2026-06-08T22:16:26.850119
2023-06-01,-1.93,igpm_mensal,2026-06-08T22:16:26.850119
2023-07-01,-0.72,igpm_mensal,2026-06-08T22:16:26.850119
2023-08-01,-0.14,igpm_mensal,2026-06-08T22:16:26.850119
2023-09-01,0.37,igpm_mensal,2026-06-08T22:16:26.850119
2023-10-01,0.5,igpm_mensal,2026-06-08T22:16:26.850119
2023-11-01,0.59,igpm_mensal,2026-06-08T22:16:26.850119
2023-12-01,0.74,igpm_mensal,2026-06-08T22:16:26.850119
