id,serie,data,valor,carregado_em
1,dolar_comercial,2023-01-02,5.343,2026-06-08T22:21:55.873731
2,dolar_comercial,2023-01-03,5.3753,2026-06-08T22:21:55.873731
3,dolar_comercial,2023-01-04,5.4453,2026-06-08T22:21:55.873731
4,dolar_comercial,2023-01-05,5.402,2026-06-08T22:21:55.873731
5,dolar_comercial,2023-01-06,5.2849,2026-06-08T22:21:55.873731
6,dolar_comercial,2023-01-09,5.2961,2026-06-08T22:21:55.873731
7,dolar_comercial,2023-01-10,5.2389,2026-06-08T22:21:55.873731
8,dolar_comercial,2023-01-11,5.2014,2026-06-08T22:21:55.873731
9,dolar_comercial,2023-01-12,5.1394,2026-06-08T22:21:55.873731
10,dolar_comercial,2023-01-13,5.114,2026-06-08T22:21:55.873731
11,dolar_comercial,2023-01-16,5.1109,2026-06-08T22:21:55.873731
12,dolar_comercial,2023-01-17,5.1197,2026-06-08T22:21:55.873731
13,dolar_comercial,2023-01-18,5.0903,2026-06-08T22:21:55.873731
14,dolar_comercial,2023-01-19,5.2138,2026-06-08T22:21:55.873731
15,dolar_comercial,2023-01-20,5.198,2026-06-08T22:21:55.873731
16,dolar_comercial,2023-01-23,5.1916,2026-06-08T22:21:55.873731
17,dolar_comercial,2023-01-24,5.169,2026-06-08T22:21:55.873731
18,dolar_comercial,2023-01-25,5.1036,2026-06-08T22:21:55.873731
19,dolar_comercial,2023-01-26,5.0945,2026-06-08T22:21:55.873731
20,dolar_comercial,2023-01-27,5.0761,2026-06-08T22:21:55.873731
21,dolar_comercial,2023-01-30,5.0953,2026-06-08T22:21:55.873731
22,dolar_comercial,2023-01-31,5.0987,2026-06-08T22:21:55.873731
23,dolar_comercial,2023-02-01,5.0715,2026-06-08T22:21:55.873731
24,dolar_comercial,2023-02-02,4.9895,2026-06-08T22:21:55.873731
25,dolar_comercial,2023-02-03,5.1024,2026-06-08T22:21:55.873731
26,dolar_comercial,2023-02-06,5.1757,2026-06-08T22:21:55.873731
27,dolar_comercial,2023-02-07,5.1689,2026-06-08T22:21:55.873731
28,dolar_comercial,2023-02-08,5.203,2026-06-08T22:21:55.873731
29,dolar_comercial,2023-02-09,5.2309,2026-06-08T22:21:55.873731
30,dolar_comercial,2023-02-10,5.252,2026-06-08T22:21:55.873731
