data,valor,serie,processado_em
2023-01-01,0.53,ipca_mensal,2026-06-08T22:16:26.856076
2023-02-01,0.84,ipca_mensal,2026-06-08T22:16:26.856076
2023-03-01,0.71,ipca_mensal,2026-06-08T22:16:26.856076
2023-04-01,0.61,ipca_mensal,2026-06-08T22:16:26.856076
2023-05-01,0.23,ipca_mensal,2026-06-08T22:16:26.856076
2023-06-01,-0.08,ipca_mensal,2026-06-08T22:16:26.856076
2023-07-01,0.12,ipca_mensal,2026-06-08T22:16:26.856076
2023-08-01,0.23,ipca_mensal,2026-06-08T22:16:26.856076
2023-09-01,0.26,ipca_mensal,2026-06-08T22:16:26.856076
2023-10-01,0.24,ipca_mensal,2026-06-08T22:16:26.856076
2023-11-01,0.28,ipca_mensal,2026-06-08T22:16:26.856076
2023-12-01,0.56,ipca_mensal,2026-06-08T22:16:26.856076
